# 2026新托福高频词汇表
# 来源: AWL (Academic Word List) + TOEFL 2026真题高频词 + 12学科主题词汇
# 格式: 单词\t词性\t中文释义\t分类\t优先级(1最高)
# 优先级说明: 1=AWL Sublist1-3(必背) 2=AWL Sublist4-6(高频) 3=AWL Sublist7-10(进阶) 4=学科专项 5=功能词/转折词
#
# ===== AWL Sublist 1 (60词, 最高频学术词) =====
analyse	v	分析	AWL-1	1
approach	n/v	方法；接近	AWL-1	1
area	n	领域；地区	AWL-1	1
assess	v	评估	AWL-1	1
assume	v	假设；承担	AWL-1	1
authority	n	权威；当局	AWL-1	1
available	adj	可用的	AWL-1	1
benefit	n/v	利益；受益	AWL-1	1
concept	n	概念	AWL-1	1
consist	v	由…组成	AWL-1	1
constitute	v	构成	AWL-1	1
context	n	语境；背景	AWL-1	1
contract	n/v	合同；收缩	AWL-1	1
create	v	创造	AWL-1	1
data	n	数据	AWL-1	1
define	v	定义	AWL-1	1
derive	v	源于；推导	AWL-1	1
distribute	v	分配；分布	AWL-1	1
economy	n	经济	AWL-1	1
environment	n	环境	AWL-1	1
establish	v	建立	AWL-1	1
estimate	v/n	估计	AWL-1	1
evident	adj	明显的	AWL-1	1
export	v/n	出口	AWL-1	1
factor	n	因素	AWL-1	1
finance	n/v	金融；资助	AWL-1	1
formula	n	公式；配方	AWL-1	1
function	n/v	功能；运作	AWL-1	1
identify	v	识别；认定	AWL-1	1
income	n	收入	AWL-1	1
indicate	v	表明	AWL-1	1
individual	n/adj	个人；个别的	AWL-1	1
interpret	v	解释；口译	AWL-1	1
involve	v	涉及；包含	AWL-1	1
issue	n/v	问题；发行	AWL-1	1
labour	n/v	劳动	AWL-1	1
legal	adj	法律的；合法的	AWL-1	1
legislate	v	立法	AWL-1	1
major	adj/n	主要的；专业	AWL-1	1
method	n	方法	AWL-1	1
occur	v	发生	AWL-1	1
percent	n	百分比	AWL-1	1
period	n	时期	AWL-1	1
policy	n	政策	AWL-1	1
principle	n	原则	AWL-1	1
proceed	v	继续进行	AWL-1	1
process	n/v	过程；处理	AWL-1	1
require	v	要求；需要	AWL-1	1
research	n/v	研究	AWL-1	1
respond	v	回应	AWL-1	1
role	n	角色	AWL-1	1
section	n	部分	AWL-1	1
sector	n	部门；领域	AWL-1	1
significant	adj	重要的；显著的	AWL-1	1
similar	adj	相似的	AWL-1	1
source	n	来源	AWL-1	1
specific	adj	具体的；特定的	AWL-1	1
structure	n/v	结构	AWL-1	1
theory	n	理论	AWL-1	1
vary	v	变化	AWL-1	1
#
# ===== AWL Sublist 2 (60词) =====
achieve	v	达成	AWL-2	1
acquire	v	获得	AWL-2	1
administrate	v	管理	AWL-2	1
affect	v	影响	AWL-2	1
appropriate	adj	适当的	AWL-2	1
aspect	n	方面	AWL-2	1
assist	v	协助	AWL-2	1
category	n	类别	AWL-2	1
chapter	n	章节	AWL-2	1
commission	n/v	委员会；委托	AWL-2	1
community	n	社区	AWL-2	1
complex	adj/n	复杂的；综合体	AWL-2	1
compute	v	计算	AWL-2	1
conclude	v	得出结论	AWL-2	1
conduct	v/n	进行；行为	AWL-2	1
consequent	adj	随之而来的	AWL-2	1
construct	v	构建	AWL-2	1
consume	v	消费	AWL-2	1
credit	n/v	信用；归功于	AWL-2	1
