transcript	抄本
transfer	转移；转学
transform	（使）变形，改观
transformation	转变；变形
transition	转变，过渡
translucent	半透明的；透明的
transmit	传送，传播
transmitter	传送者，发送器
neurotransmitter	[生化]神经传递素
transmute	使变化，使改变
transparent	透明的
transplant	移植
trap	捕捉，困住；陷害
trapper	设阱捕兽者
strap	用带缚住, 用带捆扎
trash	垃圾，废物
treacherous	不可靠的，有暗藏的危险的
tread	踏，践踏；行走
treadmill	踏车
treason	叛逆，叛国
treasure trove	无主埋藏物，无主珍宝
trove	被发现的东西，收藏的东西
treatment	待遇，对待
tremendous	巨大的，惊人的
trench	沟，壕沟
entrenched	（权利、传统）确立的，牢固的
trend	倾向，趋势
trespass	侵犯，闯入私人领地
trespasser	侵犯（他人土地）者
trial	实验
tribal	部落的，宗族的
tribe	部落，部族
tributary	辅助的，支流的
tribute	贡品，礼物
trickle	滴；细流
trigger	引发，引起，触发
trilogy	三部剧，三部曲
trim	修剪，整饰
triumph	胜利
trivial	微不足道的，琐碎的
tropical	热带的
troublesome	讨厌的，麻烦的
troubling	令人不安的，令人忧虑的
troupe	剧团
trumpet	喇叭
trumpeter	喇叭手，号兵
trustworthy	可信赖的
tub	桶，浴盆
tube	管子；电子管，显像管
tuition	学费
tumble	v./n. 翻滚；跌倒；摔倒；（使）滚落 n. 翻滚；跌倒
tundra	苔原，冻土地带
tunnel	隧道
turbulent	吵闹的；狂暴的
turbulence	喧嚣，骚乱
turnpike	公路，收费高速公路
turquoise	绿宝石
tutor	辅导；当...的家庭教师
tutorial	个别指导
twig	细枝，嫩枝
twine	搓，织，编饰；(使)缠绕
twist	扭曲，拧
tycoon	大企业家，大亨
typify	代表，为...之典型
typical	典型的；有代表性的
prototypical	原型的
tyrannical	暴虐的，残暴的
ultimate	最终的，最后的
ultimatum	最后通牒
ultrasonic	adj. 超声的；超声波的
ultrasonics	超音波学
ultraviolet	紫外线的
unadorned	未装饰的,朴实的
unanimity	全体一致，一致同意
unanimous	全体意见一致的
unbiased	没有偏见的
unbridgeable	不能架桥的, 不能逾越的
unbridled	放纵的，无约束的
unbroken	完整的；持续的
uncharted	地图上没标明的
unconscious	不省人事的；无意识的
unconventional	非传统的，与先前不同的
uncover	发现，揭示
underdeveloped	不发达的
underestimate	低估
undergo	经历，遭受
undergraduate	(尚未取得学位的)大学生
graduate	(大学)毕业生, 研究生
postgraduate	研究生
underground	地下的，地面下的
underlying	基础的；在下面的
underlie	位于...之下, 成为...的基础
undermine	渐渐破坏，暗地里破坏
underscore	划线于...下，强调
undertake	从事，承担
undertaking	任务；事业
underwater	在水下的，在水中的
undo	解开，松开
undoubtedly	毋庸置疑地，确凿地
unearth	发觉，挖出；揭露
unemployed	失业的
unevenly	不平坦地；不均衡地
unexplored	未开发的，未探索的
unfair	不公平的
unfertilized	未施肥的，未受精的
unfortunately	不幸地
uniform	制服
uniformity	同样，一式
unify	统一，使成一体
unimaginable	不可想象的
uninhabited	无人居住的
unique	独一无二的；独特的
uniqueness	独特，独一无二
unity	结合，一致
community	团体，社会；(生物)群落
opportunity	机会，时机
immunity	免疫性
universal	adj. 普遍的；全体的；通用的；宇宙的（特定语境）
universe	宇宙
unmatched	无可匹敌的
unpack	打开包裹（或行李）
unpalatable	味道差的, 不好吃的
unprecedented	前所未有的，空前的
unpredictable	不可预知的
unpromising	无前途的, 没有希望的
unravel	弄清楚（秘密）
unrestrained	无限制的
unrestricted	无限制的, 自由的
unscrupulous	肆无忌惮的, 无道德原则的
unselfish	不自私的, 慷慨的
unsophisticated	不懂事故的，单纯的
unstable	不稳定的
unsubstantiated	未经证实的
untouched	未触及的
unwieldy	笨拙的；(因太大、太重、形状奇特等)不易被移动的，笨重的
upgrade	使升级，提升
upheaval	剧变
uphold	维护，支持
upland	丘陵地带，高地
uproot	连根拔起，拔除
upset	心烦意乱的
upside-down	颠倒的
urban	城市的
urbane	温文尔雅的
urbanism	都市生活, 都市化
urbanite	都市人
urbanize	v. 使城市化；使都市化
